"serialnumber","listyear","daterecorded","town","address","assessedvalue","saleamount","salesratio","propertytype","residentialtype","nonuse.code","assessorremarks","opmremarks","location","assessedvalue_true"
80396,2008,"05/01/2009","New Haven","32 READ ST",87010,20,4.3505,"Single Family","Single Family","13 - Bankrupcy","","","",124.3
80566,2008,"05/14/2009","New Haven","16 KINGSWOOD DR",120190,84,1.430833333,"Single Family","Single Family","13 - Bankrupcy","","","",171.7
81046,2008,"09/18/2009","New Haven","195 ATWATER ST",120400,137,0.878832117,"Single Family","Single Family","","","","",172
80409,2008,"05/04/2009","New Haven","14 GOODYEAR ST",83860,41,2.045365854,"Single Family","Single Family","13 - Bankrupcy","","","",119.8
80648,2008,"06/09/2009","New Haven","32 LONG HILL TER",128100,140,0.915,"Single Family","Single Family","13 - Bankrupcy","","","",183
80778,2008,"07/13/2009","New Haven","152 OCEAN VIEW ST",131600,200,0.658,"Single Family","Single Family","","","","",188
80017,2008,"10/07/2008","New Haven","50 MELROSE DR",120610,195,0.618512821,"Single Family","Single Family","","","","POINT (-72.86498 41.33325)",172.3
80743,2008,"07/01/2009","New Haven","359 KNEELAND RD",148680,218,0.682018349,"Single Family","Single Family","","","","POINT (-72.89576 41.28223)",212.4
80238,2008,"01/08/2009","New Haven","230 HEMLOCK RD",147700,80,1.84625,"Single Family","Single Family","10 - A Will","","","",211
80823,2008,"07/23/2009","New Haven","74 SHERLAND AV",119700,115,1.040869565,"Single Family","Single Family","","","","POINT (-72.88245 41.30693)",171
80822,2008,"07/23/2009","New Haven","853 QUINNIPIAC AV",125300,115,1.089565217,"Single Family","Single Family","25 - Other","BELOW MARKET","","",179
80943,2008,"08/17/2009","New Haven","145 COUNTY ST",90370,30.75,2.938861789,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.93804 41.31974)",129.1
80408,2008,"05/04/2009","New Haven","24 LANCRAFT ST",100030,118,0.847711864,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.89309 41.29847)",142.9
80779,2008,"07/14/2009","New Haven","139 TOWNSEND AV",167020,100,1.6702,"Single Family","Single Family","25 - Other","BELOW MARKET","","POINT (-72.89368 41.26112)",238.6
80577,2008,"05/19/2009","New Haven","99 SHERLAND AV",151130,165,0.915939394,"Single Family","Single Family","01 - Family","","","POINT (-72.88208 41.3077)",215.9
80047,2008,"10/20/2008","New Haven","18 SHEPARD ST",55720,83.74,0.665392883,"Single Family","Single Family","","","","POINT (-72.92907 41.3318)",79.6
80765,2008,"07/08/2009","New Haven","832 SHERMAN AV",154280,60,2.571333333,"Single Family","Single Family","13 - Bankrupcy","","","",220.4
81036,2008,"09/14/2009","New Haven","348 VALLEY ST",112070,33,3.396060606,"Single Family","Single Family","13 - Bankrupcy","","","",160.1
80982,2008,"08/31/2009","New Haven","61 MARKET ST",135100,160,0.844375,"Single Family","Single Family","","","","",193
